start	end	recomb
1	10000	14.460810141264004
10001	20000	5.3031500432394365
20001	30000	0.011993325194364
30001	40000	0.08419158071724168
40001	50000	0.05320414644066714
50001	60000	0.13710888937326526
60001	70000	0.10719941159472
70001	80000	0.04180710200880572
80001	90000	0.033327496682796
90001	100000	0.1061154221580184
100001	110000	0.05725643758752
110001	120000	0.05725643758752
120001	130000	0.09140169545690548
130001	140000	0.42110102472457783
140001	150000	0.11455062904308
150001	160000	0.12462559509432919
160001	170000	1.0771545248660226
170001	180000	0.16976568240948142
180001	190000	0.15256803364419944
190001	200000	0.06611903611098377
200001	210000	0.2060059958302513
210001	220000	0.9478952218297926
220001	230000	0.05414283741951413
230001	240000	0.04716081617933327
240001	250000	0.0733499946533196
250001	260000	0.1455164610957108
260001	270000	0.3542149129656614
270001	280000	1.9932424302204
280001	290000	1.9932424302204
290001	300000	1.186590195254013
300001	310000	0.7377231540789885
310001	320000	0.9573305693995308
320001	330000	0.20182651589310327
330001	340000	0.569425505802819
340001	350000	0.44454483651510374
350001	360000	0.3025641033657684
360001	370000	0.16545687088033714
370001	380000	1.1434540591997917
380001	390000	0.7100995851299777
390001	400000	0.5440631244183267
400001	410000	1.2007759210046047
410001	420000	0.5857848743699716
420001	430000	3.381071363639068
430001	440000	0.3526335245155306
440001	450000	0.39412872218843015
450001	460000	0.34195129812185937
460001	470000	1.1142465531449153
470001	480000	0.7342236758326415
480001	490000	1.464018853039363
490001	500000	6.1047693259140745
500001	510000	19.454028860040005
510001	520000	19.454028860040005
520001	530000	19.4550152068096
530001	540000	6.222041491075015
540001	550000	0.7998326259584974
550001	560000	0.0486485556744
560001	570000	1.063491053333906
570001	580000	5.056753085277601
580001	590000	4.401090779282733
590001	600000	0.7073760529107634
600001	610000	0.4804595885157625
610001	620000	1.4177143864908175
620001	630000	0.6744205531799071
630001	640000	4.04979169516654
640001	650000	2.52113334979372
650001	660000	3.612186939712966
660001	670000	4.594709722487511
670001	680000	4.678513261614
680001	690000	4.678513261614
690001	700000	4.678513261614
700001	710000	3.5363502153482482
710001	720000	0.06743919513888
720001	730000	0.10611180355763711
730001	740000	0.4100938445862788
740001	750000	11.639956942631647
750001	760000	3.3499404023699637
760001	770000	8.937143034319828
770001	780000	1.6313480951841104
780001	790000	1.8216751168320215
790001	800000	2.5752930123323843
800001	810000	1.638104670873265
810001	820000	0.7984904592301151
820001	830000	2.198141889410647
830001	840000	5.108652718216922
840001	850000	5.269764701913445
850001	860000	2.994522370171974
860001	870000	1.3766747772023857
870001	880000	2.234078167588203
880001	890000	0.6236334274929899
890001	900000	1.776366707348016
900001	910000	1.9819384901170638
910001	920000	2.849467097923488
920001	930000	4.395401918578305
930001	940000	1.138541273478829
940001	950000	0.8268571429571613
950001	960000	1.7195683859821098
960001	970000	4.889695638622316
970001	980000	6.1851622668960005
980001	990000	3.147800274155997
990001	1000000	3.836309390271041
1000001	1010000	0.9093636867796631
1010001	1020000	15.670443970790652
1020001	1030000	4.31313424995087
1030001	1040000	1.8540261312917954
1040001	1050000	0.3815122782472517
1050001	1060000	0.13824833289946123
1060001	1070000	0.06318625693976275
1070001	1080000	1.939481175082333
1080001	1090000	7.292902322198242
1090001	1100000	5.003571945828389
1100001	1110000	5.789874587037623
1110001	1120000	7.744397016948
1120001	1130000	13.630344281885165
1130001	1140000	2.649025901321928
1140001	1150000	8.536484818192145
1150001	1160000	11.142846289995088
1160001	1170000	5.072094946650481
1170001	1180000	4.933729409564401
1180001	1190000	3.1499740566618972
1190001	1200000	0.8846173864973492
1200001	1210000	0.11740913619468
1210001	1220000	0.11740913619468
1220001	1230000	1.7961284625931455
1230001	1240000	4.0044292145927045
1240001	1250000	6.727202904737838
1250001	1260000	6.677744361398262
1260001	1270000	2.1030797477223304
1270001	1280000	13.632997526650385
